cenlon,cenlat,rgi_area_km2,dem_mean_elev,dem_max_elev,dem_min_elev,tstar_avg_temp_mean_elev,tstar_avg_prcp,rcenlon,rcenlat,n_glaciers
0.5,43.5,0.854,2850.5339006696427,2986.285714285714,2705.4285714285716,-2.1241238409192724,1453.8116177115025,0.0,43.0,7
-105.5,39.5,0.19000000000000006,4007.637505425347,4074.1111111111113,3936.8888888888887,-4.632292919075794,548.6673687145274,-106.0,39.0,9
-105.5,40.5,3.227999999999999,3747.248077822403,3837.1971830985917,3661.605633802817,-3.7955474371639775,475.7148284298569,-106.0,40.0,71
-105.5,41.5,0.276,3633.3819691051135,3683.6363636363635,3575.909090909091,-3.32703006223268,451.40210162747286,-106.0,41.0,11
-106.5,39.5,0.126,3824.0721130371094,3897.0,3744.125,-3.998892501502559,554.1263491722847,-107.0,39.0,8
-106.5,41.5,0.4790000000000002,3479.0777740478516,3533.625,3419.8125,-3.0108278289462294,464.40899016011133,-107.0,41.0,16
-106.5,44.5,0.9700000000000004,3461.132095336914,3582.9375,3369.0,2.013422590138017,401.21211062938926,-107.0,44.0,16
-107.5,38.5,0.182,4106.205261230469,4187.5,4042.0,-5.761561082812104,644.8200946438697,-108.0,38.0,4
-108.5,43.5,7.620999999999991,3490.3856021826864,3581.1090047393363,3411.478672985782,-1.3270456888991622,448.1250516401641,-109.0,43.0,211
-108.5,45.5,0.11900000000000001,3234.8566080729165,3263.3333333333335,3201.6666666666665,0.5358973240855364,446.85261704639726,-109.0,45.0,3
-109.5,43.5,47.086000000000055,3633.7578982089426,3721.758865248227,3549.0390070921985,-2.1641904189023826,485.90703034777476,-110.0,43.0,282
-109.5,44.5,7.243999999999992,3322.774053955078,3376.89,3269.55,-1.9476426122263355,489.1256955111053,-110.0,44.0,200
-109.5,45.5,22.268000000000015,3277.1101588199012,3372.764705882353,3190.860681114551,0.21486019457665032,459.377635811952,-110.0,45.0,323
-109.5,46.5,1.857999999999999,2912.5981065538194,3000.1111111111113,2838.733333333333,0.6319613071556668,443.7287260072319,-110.0,46.0,45
-110.5,44.5,6.275999999999993,3190.2378381799767,3281.179012345679,3111.104938271605,-3.4649748153174387,581.4732791895293,-111.0,44.0,162
-110.5,45.5,0.041,3195.5648193359375,3312.5,3105.5,-2.5736144003217416,596.178384965466,-111.0,45.0,2
